Date : 2020-04-07 15:04:19
Directory : e:\WORK\Rtis-Vutfify
Total : 476 files,  124316 codes, 14969 comments, 13838 blanks, all 153123 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\WORK\Rtis-Vutfify\src\components\webgl-tools\loaders\PLYLoader.js                                      | JavaScript |        265 |          5 |        206 |        476 |
| e:\WORK\Rtis-Vutfify\src\components\webgl-tools\loaders\STLLoader.js                                      | JavaScript |        142 |         11 |        106 |        259 |
| e:\WORK\Rtis-Vutfify\src\components\webgl-tools\util.js                                                   | JavaScript |        114 |          0 |         61 |        175 |
| e:\WORK\Rtis-Vutfify\src\config\index.js                                                                  | JavaScript |         18 |         20 |          2 |         40 |
| e:\WORK\Rtis-Vutfify\src\lib\SignalRAspNetCoreHelper.ts                                                   | TypeScript |         16 |          0 |          2 |         18 |
| e:\WORK\Rtis-Vutfify\src\lib\abp.d.ts                                                                     | TypeScript |        226 |         30 |        199 |        455 |
| e:\WORK\Rtis-Vutfify\src\lib\abp.js                                                                       | JavaScript |        601 |         85 |        206 |        892 |
| e:\WORK\Rtis-Vutfify\src\lib\abpbase.ts                                                                   | TypeScript |         36 |          0 |          3 |         39 |
| e:\WORK\Rtis-Vutfify\src\lib\ajax.ts                                                                      | TypeScript |         34 |          0 |          2 |         36 |
| e:\WORK\Rtis-Vutfify\src\lib\appconst.ts                                                                  | TypeScript |         15 |          1 |          2 |         18 |
| e:\WORK\Rtis-Vutfify\src\lib\libs\OHIFViewer.js                                                           | JavaScript |          4 |          9 |          1 |         14 |
| e:\WORK\Rtis-Vutfify\src\lib\libs\api.request.js                                                          | JavaScript |          5 |          0 |          2 |          7 |
| e:\WORK\Rtis-Vutfify\src\lib\libs\axios.js                                                                | JavaScript |         66 |          7 |          2 |         75 |
| e:\WORK\Rtis-Vutfify\src\lib\libs\excel.js                                                                | JavaScript |         87 |         16 |         11 |        114 |
| e:\WORK\Rtis-Vutfify\src\lib\libs\render-dom.js                                                           | JavaScript |         10 |          0 |          1 |         11 |
| e:\WORK\Rtis-Vutfify\src\lib\libs\tools.js                                                                | JavaScript |        129 |         72 |         15 |        216 |
| e:\WORK\Rtis-Vutfify\src\lib\libs\umd\index.html                                                          | HTML       |         51 |          0 |          9 |         60 |
| e:\WORK\Rtis-Vutfify\src\lib\libs\umd\index.umd.js                                                        | JavaScript |        432 |      1,288 |          0 |      1,720 |
| e:\WORK\Rtis-Vutfify\src\lib\libs\util.js                                                                 | JavaScript |        296 |         71 |         33 |        400 |
| e:\WORK\Rtis-Vutfify\src\lib\tools\tools.d.ts                                                             | TypeScript |          2 |        122 |         19 |        143 |
| e:\WORK\Rtis-Vutfify\src\lib\tools\tools.js                                                               | JavaScript |        129 |         72 |         15 |        216 |
| e:\WORK\Rtis-Vutfify\src\lib\url.ts                                                                       | TypeScript |          2 |          4 |          2 |          8 |
| e:\WORK\Rtis-Vutfify\src\lib\util.ts                                                                      | TypeScript |        300 |          3 |         18 |        321 |
| e:\WORK\Rtis-Vutfify\src\main.ts                                                                          | TypeScript |         70 |          8 |         14 |         92 |
