Date : 2020-04-07 15:04:19
Directory : e:\WORK\Rtis-Vutfify
Total : 476 files,  124316 codes, 14969 comments, 13838 blanks, all 153123 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\WORK\Rtis-Vutfify\src\styles\material-dashboard\_variables.scss                                        | SCSS       |        105 |         30 |         30 |        165 |
| e:\WORK\Rtis-Vutfify\src\test copy.js                                                                     | JavaScript |        345 |          4 |         38 |        387 |
| e:\WORK\Rtis-Vutfify\src\test.html                                                                        | HTML       |        320 |          0 |          1 |        321 |
| e:\WORK\Rtis-Vutfify\src\test.js                                                                          | JavaScript |        284 |          1 |          7 |        292 |
| e:\WORK\Rtis-Vutfify\src\theme.less                                                                       | Less       |          9 |          1 |          4 |         14 |
| e:\WORK\Rtis-Vutfify\src\utils\vuex.js                                                                    | JavaScript |          2 |          0 |          2 |          4 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\ctImage.vue                                                      | Vue.js     |          0 |          0 |          1 |          1 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\dicom.vue                                                        | Vue.js     |          0 |        290 |         44 |        334 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\dist\cornerstoneWADOImageLoader.js                               | JavaScript |      3,071 |        628 |      1,123 |      4,822 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\dist\cornerstoneWADOImageLoader.min.js                           | JavaScript |          1 |          2 |          0 |          3 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\dist\cornerstoneWADOImageLoaderCodecs.js                         | JavaScript |      1,878 |        471 |        483 |      2,832 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\dist\cornerstoneWADOImageLoaderCodecs.min.js                     | JavaScript |          3 |          1 |          0 |          4 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\dist\cornerstoneWADOImageLoaderWebWorker.js                      | JavaScript |        784 |        216 |        261 |      1,261 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\dist\cornerstoneWADOImageLoaderWebWorker.min.js                  | JavaScript |          1 |          2 |          0 |          3 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\formBasic.vue                                                    | Vue.js     |         99 |          0 |          2 |        101 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\header.vue                                                       | Vue.js     |        612 |         16 |         38 |        666 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\util\util.d.ts                                                   | TypeScript |          1 |          0 |          0 |          1 |
| e:\WORK\Rtis-Vutfify\src\views\basicInfo\util\util.js                                                     | JavaScript |        114 |          0 |         61 |        175 |
| e:\WORK\Rtis-Vutfify\src\views\customize\headerBar.vue                                                    | Vue.js     |         52 |          0 |          3 |         55 |
| e:\WORK\Rtis-Vutfify\src\views\customize\patientItemCard.vue                                              | Vue.js     |        168 |          0 |          7 |        175 |
| e:\WORK\Rtis-Vutfify\src\views\customize\patientSearchItem.vue                                            | Vue.js     |        110 |          0 |          8 |        118 |
| e:\WORK\Rtis-Vutfify\src\views\customize\searchButtonGroup.vue                                            | Vue.js     |         42 |          0 |          6 |         48 |
| e:\WORK\Rtis-Vutfify\src\views\customize\sortBtn.vue                                                      | Vue.js     |         69 |          0 |          6 |         75 |
| e:\WORK\Rtis-Vutfify\src\views\home\calendar.vue                                                          | Vue.js     |         95 |          1 |          3 |         99 |
| e:\WORK\Rtis-Vutfify\src\views\home\home copy 2.vue                                                       | Vue.js     |        287 |          2 |         12 |        301 |
| e:\WORK\Rtis-Vutfify\src\views\home\home copy 3.vue                                                       | Vue.js     |        239 |          0 |          6 |        245 |
| e:\WORK\Rtis-Vutfify\src\views\home\home copy.vue                                                         | Vue.js     |        159 |          2 |         13 |        174 |
| e:\WORK\Rtis-Vutfify\src\views\home\home.vue                                                              | Vue.js     |        530 |          1 |          9 |        540 |
| e:\WORK\Rtis-Vutfify\src\views\home\workcard.vue                                                          | Vue.js     |        298 |         36 |         23 |        357 |
| e:\WORK\Rtis-Vutfify\src\views\login.vue                                                                  | Vue.js     |        161 |          3 |          5 |        169 |
| e:\WORK\Rtis-Vutfify\src\views\main copy.less                                                             | Less       |        480 |         23 |        118 |        621 |
| e:\WORK\Rtis-Vutfify\src\views\main.less                                                                  | Less       |        537 |         25 |        132 |        694 |
| e:\WORK\Rtis-Vutfify\src\views\main.vue                                                                   | Vue.js     |        230 |          0 |         14 |        244 |
| e:\WORK\Rtis-Vutfify\src\views\main\accountsTable.vue                                                     | Vue.js     |         74 |          0 |          5 |         79 |
| e:\WORK\Rtis-Vutfify\src\views\main\changePassword.vue                                                    | Vue.js     |         36 |          0 |          4 |         40 |
| e:\WORK\Rtis-Vutfify\src\views\main\loginAttempt.vue                                                      | Vue.js     |        116 |          1 |          8 |        125 |
| e:\WORK\Rtis-Vutfify\src\views\main\mySetting.vue                                                         | Vue.js     |         41 |          0 |          3 |         44 |
| e:\WORK\Rtis-Vutfify\src\views\main\setting.vue                                                           | Vue.js     |        245 |          2 |         14 |        261 |
| e:\WORK\Rtis-Vutfify\src\views\setting\arrangement\arrangement.vue                                        | Vue.js     |          7 |          0 |          2 |          9 |
| e:\WORK\Rtis-Vutfify\src\views\setting\arrangement\arrangementList.vue                                    | Vue.js     |        488 |         25 |         22 |        535 |
| e:\WORK\Rtis-Vutfify\src\views\setting\arrangement\arrangementTable copy.vue                              | Vue.js     |        341 |          0 |          4 |        345 |
| e:\WORK\Rtis-Vutfify\src\views\setting\arrangement\arrangementTable.vue                                   | Vue.js     |        458 |        166 |         25 |        649 |
| e:\WORK\Rtis-Vutfify\src\views\setting\arrangement\lunarfullcalendar\fullcalendar\fullcalendar.css        | CSS        |        816 |        252 |        231 |      1,299 |
| e:\WORK\Rtis-Vutfify\src\views\setting\arrangement\lunarfullcalendar\fullcalendar\fullcalendar.js         | JavaScript |     13,181 |      2,150 |        312 |     15,643 |
| e:\WORK\Rtis-Vutfify\src\views\setting\arrangement\lunarfullcalendar\index.js                             | JavaScript |          2 |          0 |          1 |          3 |
| e:\WORK\Rtis-Vutfify\src\views\setting\arrangement\lunarfullcalendar\lunarfullcalendar.vue                | Vue.js     |        175 |          0 |         32 |        207 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\consent\consent.vue                               | Vue.js     |        196 |          1 |         21 |        218 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\consent\consentTemplate1.vue                      | Vue.js     |        183 |          0 |         20 |        203 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\consent\consentTemplate2.vue                      | Vue.js     |        180 |          0 |         19 |        199 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\consent\template.vue                              | Vue.js     |        118 |          5 |         10 |        133 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\currentPatientCard.vue                            | Vue.js     |        132 |          0 |          9 |        141 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\diagnosticBlock.vue                               | Vue.js     |        400 |          4 |         32 |        436 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\diagnosticInfoCard.vue                            | Vue.js     |        178 |          0 |          5 |        183 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\patientResource.vue                               | Vue.js     |        118 |         18 |         14 |        150 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\patientTreatment.vue                              | Vue.js     |          9 |          0 |          2 |         11 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\patientTreatmentList copy.vue                     | Vue.js     |        307 |          4 |         14 |        325 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\patientTreatmentList.vue                          | Vue.js     |        329 |          4 |         13 |        346 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\plan\List.vue                                     | Vue.js     |        860 |        106 |         29 |        995 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\plan\creatPlanApplication copy.vue                | Vue.js     |        359 |          3 |         47 |        409 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\plan\creatPlanApplication.vue                     | Vue.js     |        298 |          4 |         36 |        338 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\plan\historyPlanApplication.vue                   | Vue.js     |        296 |          3 |         44 |        343 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\plan\planInfoCard copy.vue                        | Vue.js     |        299 |          0 |         15 |        314 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\plan\planInfoCard.vue                             | Vue.js     |        343 |          0 |         22 |        365 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\program\historyProgram.vue                        | Vue.js     |        367 |         47 |         58 |        472 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\program\program copy.vue                          | Vue.js     |        474 |         34 |         57 |        565 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\program\program.vue                               | Vue.js     |        383 |         34 |         53 |        470 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\target\creatTargetingApplication copy.vue         | Vue.js     |        881 |         33 |         53 |        967 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\target\creatTargetingApplication.vue              | Vue.js     |        689 |          9 |         37 |        735 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\target\historyTargetingApplication.vue            | Vue.js     |        575 |         11 |         33 |        619 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patientTreatment\target\targetInfoCard.vue                         | Vue.js     |         89 |          0 |          9 |         98 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patient\headerBtn.vue                                              | Vue.js     |         34 |          0 |         16 |         50 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patient\infoBtn.vue                                                | Vue.js     |         63 |          0 |          4 |         67 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patient\patient.vue                                                | Vue.js     |         97 |          0 |         18 |        115 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patient\registration.vue                                           | Vue.js     |      1,391 |         32 |         81 |      1,504 |
| e:\WORK\Rtis-Vutfify\src\views\setting\patient\uploadImg.vue                                              | Vue.js     |         54 |          4 |          9 |         67 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\DVH.vue                                                     | Vue.js     |      1,857 |        158 |         11 |      2,026 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\applicationResult\examineLocationResult.vue                 | Vue.js     |        391 |          2 |          8 |        401 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\applicationResult\moreExamineLocationResult.vue             | Vue.js     |        359 |          4 |         12 |        375 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\applicationResult\reviewApplicationResult.vue               | Vue.js     |        270 |         27 |         24 |        321 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\approvaltTreatment\approvaltTreatment.vue                   | Vue.js     |        307 |          8 |         29 |        344 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\approvaltTreatment\moreApprovaltTreatment.vue               | Vue.js     |        372 |         14 |         17 |        403 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\approvePlan\approvePlan copy 2.vue                          | Vue.js     |        416 |          8 |         51 |        475 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\approvePlan\approvePlan copy 3.vue                          | Vue.js     |        426 |          8 |         34 |        468 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\approvePlan\approvePlan copy.vue                            | Vue.js     |        384 |          8 |         50 |        442 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\approvePlan\approvePlan.vue                                 | Vue.js     |        267 |          2 |         16 |        285 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\approvePlan\moreApprovePlan copy.vue                        | Vue.js     |        189 |         13 |         20 |        222 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\approvePlan\moreApprovePlan.vue                             | Vue.js     |        375 |          8 |         15 |        398 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\card\projectLocationDetailed.vue                            | Vue.js     |         91 |         25 |         11 |        127 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\card\projectPlanDetailed.vue                                | Vue.js     |         90 |         26 |         10 |        126 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\ohifViewer.vue                                              | Vue.js     |         40 |          0 |          4 |         44 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\planApplication\morePlanApplication.vue                     | Vue.js     |        375 |         13 |         16 |        404 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\planApplication\planApplication copy.vue                    | Vue.js     |        338 |         12 |         49 |        399 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\planApplication\planApplication.vue                         | Vue.js     |        155 |          0 |         10 |        165 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\planApplication\planApplicationItem.vue                     | Vue.js     |        155 |          9 |         11 |        175 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\review.vue                                                  | Vue.js     |         32 |          0 |         15 |         47 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\reviewItemCard.vue                                          | Vue.js     |        157 |          9 |         10 |        176 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\reviewList copy.vue                                         | Vue.js     |        163 |          8 |         11 |        182 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\reviewList.vue                                              | Vue.js     |        164 |          0 |          5 |        169 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\targetApplication\moreTargetApplication.vue                 | Vue.js     |        380 |         10 |         15 |        405 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\targetApplication\reviewTargetingApplication copy 2.vue     | Vue.js     |        597 |         36 |         46 |        679 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\targetApplication\reviewTargetingApplication copy.vue       | Vue.js     |        849 |         22 |         46 |        917 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\targetApplication\reviewTargetingApplication.vue            | Vue.js     |        698 |          0 |         35 |        733 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\targetApplication\targetApplicationItem.vue                 | Vue.js     |        154 |          9 |         10 |        173 |
| e:\WORK\Rtis-Vutfify\src\views\setting\review\targetResource.vue                                          | Vue.js     |         77 |          0 |         18 |         95 |
| e:\WORK\Rtis-Vutfify\src\views\setting\schedule\lunarfullcalendar\fullcalendar\fullcalendar.css           | CSS        |        816 |        252 |        231 |      1,299 |
| e:\WORK\Rtis-Vutfify\src\views\setting\schedule\lunarfullcalendar\fullcalendar\fullcalendar.js            | JavaScript |     13,181 |      2,150 |        312 |     15,643 |
| e:\WORK\Rtis-Vutfify\src\views\setting\schedule\lunarfullcalendar\index.js                                | JavaScript |          2 |          0 |          1 |          3 |
| e:\WORK\Rtis-Vutfify\src\views\setting\schedule\lunarfullcalendar\lunarfullcalendar.vue                   | Vue.js     |        175 |          0 |         32 |        207 |
| e:\WORK\Rtis-Vutfify\src\views\setting\schedule\schedule.vue                                              | Vue.js     |          7 |          0 |          1 |          8 |
| e:\WORK\Rtis-Vutfify\src\views\setting\schedule\scheduleList.vue                                          | Vue.js     |        445 |         13 |         19 |        477 |
| e:\WORK\Rtis-Vutfify\src\views\setting\schedule\scheduleTable.vue                                         | Vue.js     |        923 |         40 |         22 |        985 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\100.css                                                 | CSS        |          2 |          0 |          1 |          3 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\100.js                                                  | JavaScript |         24 |          3 |          2 |         29 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\caseStatistics.vue                                      | Vue.js     |        263 |          2 |         13 |        278 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\departmentStatistics.vue                                | Vue.js     |        206 |         17 |          7 |        230 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\effectivenessStatistics.vue                             | Vue.js     |        491 |          6 |         35 |        532 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\effectivenessStatistics1.vue                            | Vue.js     |        470 |          2 |         33 |        505 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\personStatistics.vue                                    | Vue.js     |        245 |          6 |         14 |        265 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\statistics copy 2.vue                                   | Vue.js     |        891 |          5 |          5 |        901 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\statistics copy 3.vue                                   | Vue.js     |      1,528 |         64 |         31 |      1,623 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\statistics copy 4.vue                                   | Vue.js     |      1,771 |         86 |         36 |      1,893 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\statistics copy 5.vue                                   | Vue.js     |      1,669 |        125 |         42 |      1,836 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\statistics copy 6.vue                                   | Vue.js     |      1,669 |        125 |         42 |      1,836 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\statistics copy 7.vue                                   | Vue.js     |      1,668 |        125 |         42 |      1,835 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\statistics copy.vue                                     | Vue.js     |        303 |          3 |          4 |        310 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\statistics.vue                                          | Vue.js     |         68 |          0 |          2 |         70 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\taskStatistics.vue                                      | Vue.js     |        699 |         20 |          6 |        725 |
| e:\WORK\Rtis-Vutfify\src\views\setting\statistics\upcomingStatistics.vue                                  | Vue.js     |        244 |         77 |         15 |        336 |
| e:\WORK\Rtis-Vutfify\src\views\setting\timeline\timeline.vue                                              | Vue.js     |         68 |          1 |          9 |         78 |
| e:\WORK\Rtis-Vutfify\tsconfig.json                                                                        | JSON       |         28 |          4 |          2 |         34 |
| e:\WORK\Rtis-Vutfify\vue.config.js                                                                        | JavaScript |         36 |         33 |          4 |         73 |
| e:\WORK\Rtis-Vutfify\yarn-error.log                                                                       | Log        |     11,602 |          0 |      1,767 |     13,369 |
| Total                                                                                                     |            |    124,316 |     14,969 |     13,838 |    153,123 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
